nome,email,telefone
João Silva,joao@gmail.com,11999999999
Maria Souza,maria@gmail.com,21988888888
Carlos Lima,carlos@hotmail.com,31977777777
Ana Oliveira,ana.oliveira@yahoo.com,11987654321
Bruno Costa,bruno.costa@gmail.com,21912345678
Fernanda Dias,fernanda_dias@outlook.com,31911223344
Ricardo Mendes,ricardo.m@gmail.com,11999887766
Patrícia Rocha,patricia_rocha@hotmail.com,21944556677
Lucas Martins,lucas.martins@gmail.com,31966778899
Juliana Alves,juliana.alves@yahoo.com,11955667788
Diego Nascimento,diego_n@live.com,21933445566
Camila Ferreira,camila_f@hotmail.com,31922334455
Eduardo Ramos,edu.ramos@gmail.com,11988776655

